competitorname,country,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
Starburst,Ireland,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628
Strawberry bon bons,Other Country,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578991
Sugar Babies,Ireland,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755
Sugar Daddy,Other Country,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995
Super Bubble,Ireland,0,1,0,0,0,0,0,0,0,0.162,0.116,27.303865
Swedish Fish,Other Country,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111
Tootsie Pop,Ireland,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651
Tootsie Roll Juniors,Other Country,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897
Tootsie Roll Midgies,Ireland,1,0,0,0,0,0,0,0,1,0.17399999,0.011,45.736748
Tootsie Roll Snack Bars,Other Country,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503
Trolli Sour Bites,Ireland,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229
Twix,Other Country,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914
Twizzlers,Ireland,0,1,0,0,0,0,0,0,0,0.22,0.116,45.466282
Warheads,Other Country,0,1,0,0,0,0,1,0,0,0.093000002,0.116,39.011898
Welch's Fruit Snacks,Ireland,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519
Werther's Original Caramel,Other Country,0,0,1,0,0,0,1,0,0,0.186,0.26699999,41.904308
Whoppers,Ireland,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113
